parameter_id,UCDLA_EYE_017_001
gene_symbol,Cpa3
gene_accession_id,MGI:88479
mouse_strain,C51BL
analysis_id,qe98jiu62h3k89l
mouse_life_stage,Early adult
parameter_name,Lens Opacity
pvalue,0.4837355
