gene_symbol,Orc2
analysis_id,wxz28sag3d7w2fh
gene_accession_id,MGI:1328306
mouse_life_stage,E9.5
parameter_id,IMPC_XRY_059_001
pvalue,0.9844354
parameter_name,Shape of ribcage
mouse_strain,C57BL
