gene_symbol,Bcs1l
pvalue,0.6367977
analysis_id,12911eqp826qm59
mouse_life_stage,Early adult
parameter_id,IMPC_FEA_107_001
parameter_name,Difference in Conditioning Post-shock and Conditioning Baseline % Freezing
mouse_strain,C57BL
gene_accession_id,MGI:1914071
