parameter_name,Bone Area
gene_accession_id,MGI:1916363
mouse_life_stage,Early adult
analysis_id,j4r52ai016417nv
mouse_strain,C57BL
parameter_id,IMPC_DXA_010_001
pvalue,0.6895652
gene_symbol,Alkbh3
