mouse_strain,B6J
pvalue,0.1877312
mouse_life_stage,Early adult
analysis_id,922pjqs85zidz7m
parameter_name,CD11b-high cDC - % of cDC
parameter_id,MGP_IMM_066_001
gene_symbol,Nr0b2
gene_accession_id,MGI:1346344
