analysis_id,qi00uw7pf7m8h60
mouse_strain,C57BL
parameter_id,IMPC_FEA_003_001
pvalue,0.5307722
gene_symbol,Tatdn3
gene_accession_id,MGI:1916222
mouse_life_stage,Early adult
parameter_name,Conditioning Baseline % Freezing Time
