gene_symbol,AU040320
mouse_life_stage,Late adult
parameter_id,IMPC_OFD_013_001
mouse_strain,C57BL
analysis_id,4jg98008jekkn7x
pvalue,0.8228525
gene_accession_id,MGI:2140475
parameter_name,Periphery average speed
