parameter_name,Center permanence time
gene_accession_id,MGI:88461
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_OFD_016_001
pvalue,0.06303826
analysis_id,tb173q5nl8n7gbs
gene_symbol,Col6a3
