parameter_name,Eye
mouse_strain,C57BL
mouse_life_stage,E15.5
gene_symbol,Mecom
analysis_id,zx550wur226c91x
parameter_id,IMPC_EYE_001_001
pvalue,0.7356952
gene_accession_id,MGI:95457
