parameter_name,Others
gene_accession_id,MGI:88461
analysis_id,708sw6058ik3qr7
pvalue,0.2549246
parameter_id,IMPC_IMM_006_001
gene_symbol,Col6a3
mouse_strain,C57BL
mouse_life_stage,Early adult
