parameter_name,Hemoglobin
parameter_id,IMPC_HEM_003_001
gene_accession_id,MGI:3026886
analysis_id,j532g9x0j540s09
pvalue,0.9653214
gene_symbol,Cdin1
mouse_life_stage,E9.5
mouse_strain,C57BL
