gene_symbol,Bpifa3
mouse_strain,C57BL
parameter_id,MGP_IMM_125_001
pvalue,0.711604
mouse_life_stage,Early adult
parameter_name,Eosinophils - % of CD45+
gene_accession_id,MGI:1920638
analysis_id,wa6jm32x2o6bf6p
