gene_symbol,Nr0b2
gene_accession_id,MGI:1346344
mouse_life_stage,Early adult
mouse_strain,B6J
pvalue,0.3281498
parameter_name,Upper teeth appearance
analysis_id,t261d13l4xqy3r4
parameter_id,IMPC_CSD_069_001
