parameter_id,JAXLA_EYE_092_001
mouse_life_stage,Early adult
analysis_id,3729t446z4nppt7
gene_symbol,Alkbh3
gene_accession_id,MGI:1916363
pvalue,0.2539743
mouse_strain,C57BL
parameter_name,Retina (combined)
