gene_symbol,Psmd14
gene_accession_id,MGI:1913284
mouse_life_stage,Early adult
pvalue,0.5702783
parameter_id,JAXLA_CSD_021_001
analysis_id,91h3f800u2gys81
mouse_strain,C57BL
parameter_name,Hindlimbs - shape
