analysis_id,nn6o97ay39zwm5g
parameter_name,Effector CD4+ T helper cells - % of CD45+
gene_symbol,Bmi1
parameter_id,MGP_IMM_073_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.9348613
gene_accession_id,MGI:88174
