parameter_name,Ly6Clow monocyte percentage
pvalue,0.9944698
mouse_strain,C57BL
gene_symbol,Rap2b
mouse_life_stage,Early adult
analysis_id,i99g5qs6w14m3k5
parameter_id,MGP_PBI_018_001
gene_accession_id,MGI:1921262
