parameter_name,HRV
analysis_id,s760ls9k4mv7r46
gene_symbol,STK35
gene_accession_id,MGI:1914583
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_ECG_010_001
pvalue,0.903974
