parameter_id,IMPC_GEL_028_001
mouse_life_stage,Early adult
gene_symbol,Zmynd8
analysis_id,3r69d0l28293ra9
mouse_strain,C57BL
pvalue,0.3040879
gene_accession_id,MGI:1918025
parameter_name,Forebrain
