gene_symbol,Rab3gap2
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,400l81y50bwkwp0
parameter_id,IMPC_CSD_047_001
parameter_name,Hindlimb digit - size
gene_accession_id,MGI:1916043
pvalue,0.3322324
