gene_symbol,Clvs1
analysis_id,841m9t08dt94q7h
pvalue,0.2634714
mouse_strain,C57BL
gene_accession_id,MGI:1921688
parameter_id,MGP_IMM_131_001
parameter_name,CD103+ CD11b-low cDC - % of CD45+
mouse_life_stage,Early adult
