parameter_id,TCPLA_XRY_033_001
gene_symbol,AU040320
gene_accession_id,MGI:2140475
pvalue,0.5071351
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,ka706e7h656s8zg
parameter_name,Tibia length
