analysis_id,7o49mw84347slom
pvalue,0.6070779
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
parameter_id,IMPC_IMM_069_001
mouse_life_stage,E18.5
mouse_strain,C57BL
parameter_name,Transitional B Cells (CD21/35 low)
