gene_symbol,Bach2
gene_accession_id,MGI:894679
analysis_id,cp6337z2j7z8ak4
mouse_strain,C57BL
pvalue,0.8633791
mouse_life_stage,Early adult
parameter_id,MGP_MLN_001_001
parameter_name,Total T cells - % of CD45+
