parameter_name,lens opacity
mouse_life_stage,Early adult
gene_symbol,Rnf114
gene_accession_id,MGI:1933159
mouse_strain,C57BL
analysis_id,44m73gd78l10f35
pvalue,0.5500531
parameter_id,M-G-P_014_001_010
