parameter_name,Coat colouration
parameter_id,M-G-P_026_001_004
mouse_life_stage,Late adult
gene_accession_id,MGI:1934811
gene_symbol,Nucks1
analysis_id,dss26fyj3sy6o68
mouse_strain,C58BL
pvalue,0.6932156
