analysis_id,1fkf0p1ws2g1r4e
pvalue,0.2131351
parameter_name,Effector CD4- NKT cells - % of CD4- NKT cells
parameter_id,MGP_IMM_026_001
gene_accession_id,MGI:1913483
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_symbol,Dmap1
