parameter_name,Body position
gene_accession_id,MGI:1346088
mouse_life_stage,Early adult
gene_symbol,Cd52
analysis_id,b422fmu1tv84803
pvalue,0.1594782
mouse_strain,C57BL
parameter_id,ESLIM_008_001_001
