analysis_id,uzg31fu14b920q4
gene_accession_id,MGI:2443129
gene_symbol,Golm2
mouse_strain,C57BL
parameter_name,Mean right eye lens density
parameter_id,IMPC_EYE_059_001
mouse_life_stage,Early adult
pvalue,0.9253397
