analysis_id,09712459g59u93l
pvalue,0.5853416
gene_accession_id,MGI:2446186
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
parameter_name,Lymphocyte differential count
gene_symbol,Lpgat1
parameter_id,IMPC_HEM_031_001
