analysis_id,ec3w8a9ef205ts6
parameter_name,White blood cell count
mouse_strain,C57BL
gene_accession_id,MGI:1914071
gene_symbol,Bcs1l
pvalue,0.1243931
parameter_id,IMPC_HEM_001_001
mouse_life_stage,E9.5
