gene_symbol,Traf6
parameter_name,Distance travelled - total
mouse_strain,C57BL
pvalue,0.4670597
mouse_life_stage,Early adult
gene_accession_id,MGI:108072
analysis_id,dw494x7toxt8205
parameter_id,JAXLA_OFD_020_001
