parameter_name,Corneal opacity
gene_symbol,Slc39a10
mouse_life_stage,E9.5
gene_accession_id,MGI:1914515
pvalue,0.4592307
mouse_strain,C57BL
analysis_id,40oa514j9b2miuf
parameter_id,IMPC_EYE_008_001
