parameter_name,Whole arena average speed
pvalue,0.6656677
gene_accession_id,MGI:1915087
parameter_id,JAX_OFD_009_001
mouse_life_stage,E12.5
analysis_id,kfh8mg74y139444
mouse_strain,C57BL
gene_symbol,Tiprl
