analysis_id,nf3d86a65garudg
parameter_name,Effector NK cells - % of CD45+
parameter_id,MGP_IMM_099_001
gene_symbol,Wars2
pvalue,0.3559029
mouse_life_stage,E12.5
gene_accession_id,MGI:1917810
mouse_strain,C57BL
