gene_symbol,Cisd2
parameter_name,Total bilirubin
analysis_id,d54122deud4y310
gene_accession_id,MGI:1914256
mouse_life_stage,Early adult
pvalue,0.4935341
parameter_id,IMPC_CBC_008_001
mouse_strain,C57BL
