analysis_id,ju8006i87a4w7y8
gene_symbol,Bmp7
pvalue,0.1932909
gene_accession_id,MGI:103302
parameter_id,IMPC_CBC_001_001
parameter_name,Sodium
mouse_life_stage,Early adult
mouse_strain,C57BL
