gene_symbol,Stk35
parameter_name,Activity (body position)
mouse_life_stage,Early adult
analysis_id,a5tje9k2uc1g0on
mouse_strain,C57BL
gene_accession_id,MGI:1914583
pvalue,0.4373487
parameter_id,IMPC_CSD_029_001
