parameter_id,IMPC_HWT_008_001
gene_symbol,AU040320
parameter_name,Heart weight
analysis_id,6343x4j39jr2639
pvalue,0.9103749
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
gene_accession_id,MGI:2140475
