analysis_id,8o408coj70h7330
gene_accession_id,MGI:1914556
parameter_id,IMPC_ACS_006_001
pvalue,0.582914
gene_symbol,Zc2hc1a
parameter_name,Response amplitude - S
mouse_life_stage,Early adult
mouse_strain,C57BL
