gene_symbol,Ssr2
mouse_strain,C57BL
parameter_id,MGP_IMM_020_001
mouse_life_stage,Early adult
parameter_name,Effector gd T cells - % of gd T cells
analysis_id,t58jy8l548pbo1p
pvalue,0.4674144
gene_accession_id,MGI:1913506
