analysis_id,o7ic28w20dr5b3q
Mouse_strain,C57BL
gene_symbol,Tiprl
Parameter_name,LVIDd
Mouse_life_stage,Early adult
Parameter_id,IMPC_ECH_008_001
Gene_accession_id,MGI:1915087
pvalue,0.5883804
