analysis_id,4iwy5x6px7nq29f
gene_accession_id,MGI:2444777
mouse_strain,C57BL
parameter_name,Persistence of hyaloid vascular system
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_027_001
gene_symbol,Ncaph
pvalue,0.9807855
