parameter_name,Startle response
parameter_id,IMPC_CSD_036_001
gene_symbol,Abo
gene_accession_id,MGI:2135738
pvalue,0.2918323
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,0r3060d9232omy0
