analysis_id,ce257737783t1ex
parameter_name,CV
parameter_id,IMPC_ECG_003_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1923959
pvalue,0.2573532
gene_symbol,Arpc2
