parameter_name,Potassium
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Nemp2
parameter_id,GMC_906_001_005
gene_accession_id,MGI:2444113
pvalue,0.5543828
analysis_id,d6q97g8t445e053
