gene_symbol,Cdin1
parameter_name,Resting Treg cells - % of Treg
parameter_id,MGP_IMM_011_001
analysis_id,g1v1mf29qu84hq6
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:3026886
pvalue,0.8481971
