parameter_name,Delayed embryonic development
gene_symbol,Zc2hc1a
parameter_id,IMPC_GEL_063_001
mouse_strain,C57BL
pvalue,0.3402841
gene_accession_id,MGI:1914556
mouse_life_stage,Early adult
analysis_id,61t215gg4143483
