analysis_id,lu3yz863ea6e1kz
mouse_life_stage,Early adult
pvalue,0.9110005
parameter_id,MGP_PBI_016_001
mouse_strain,C57BL
gene_symbol,Kdm4c
parameter_name,Monocyte percentage
gene_accession_id,MGI:1924054
