gene_symbol,Golm2
pvalue,0.2496335
gene_accession_id,MGI:2443129
analysis_id,910xv301174cq0u
mouse_life_stage,Early adult
parameter_id,MGP_PBI_033_001
parameter_name,CD8+ KLRG1+ alpha beta T cell number
mouse_strain,C57BL
