parameter_name,Joints
parameter_id,IMPC_XRY_027_001
gene_symbol,Bmi1
pvalue,0.6617067
gene_accession_id,MGI:88174
mouse_life_stage,Early adult
analysis_id,37m0w2k6aj0g9h3
mouse_strain,C57BL
