parameter_name,Vocalization
mouse_strain,C54BL
gene_accession_id,MGI:1920026
parameter_id,IMPC_CSD_078_001
mouse_life_stage,E9.5
pvalue,0.0940261
gene_symbol,Sass6
analysis_id,xu44sp4rv6f7qgu
