analysis_id,83a14t7q15watm8
gene_accession_id,MGI:2444113
mouse_strain,C57BL
parameter_id,IMPC_IMM_006_001
pvalue,0.5524511
parameter_name,Others
gene_symbol,Nemp2
mouse_life_stage,Early adult
