parameter_name,CD8 CD44-CD62L+ T cells
gene_symbol,Rap2b
pvalue,0.3950421
parameter_id,IMPC_IMM_034_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1921262
mouse_strain,C57BL
analysis_id,zw6773fa4qwy80w
