parameter_name,Mean platelet volume
gene_symbol,Mecom
parameter_id,IMPC_HEM_019_001
analysis_id,9wk7bnc2z5tojri
pvalue,0.6582751
mouse_life_stage,E15.5
mouse_strain,C57BL
gene_accession_id,MGI:95457
