gene_symbol,Pglyrp3
gene_accession_id,MGI:2685266
pvalue,0.6789963
parameter_name,Retina (combined)
analysis_id,gz0w8w46u07050x
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,JAXLA_EYE_092_001
