parameter_name,Humerus
parameter_id,IMPC_XRY_021_001
analysis_id,16700a79vf1d7zk
mouse_life_stage,Early adult
gene_symbol,Sema6c
mouse_strain,C57BL
gene_accession_id,MGI:1338032
pvalue,0.3513912
