gene_symbol,Dnaaf9
parameter_name,Center average speed
pvalue,0.2304908
mouse_strain,C57BL
parameter_id,HRWLLA_OFD_017_001
analysis_id,62g1o20c09ipc7x
gene_accession_id,MGI:1923029
mouse_life_stage,Early adult
