parameter_name,Zygomatic bone
mouse_strain,C57BL
parameter_id,IMPC_XRY_002_001
gene_symbol,Rab3gap2
gene_accession_id,MGI:1916043
pvalue,0.5257467
mouse_life_stage,Early adult
analysis_id,wu4267ux4151r08
