parameter_id,HMGULA_SHI_009_001
mouse_strain,129SV
analysis_id,le7x3yfla3183sx
gene_accession_id,MGI:1332236
parameter_name,Startle response
gene_symbol,Cds2
pvalue,0.4934702
mouse_life_stage,Early adult
