parameter_name,Total cholesterol
mouse_life_stage,Early adult
pvalue,0.4646814
gene_accession_id,MGI:1921688
parameter_id,IMPC_CBC_015_001
gene_symbol,Clvs1
mouse_strain,C57BL
analysis_id,b56f5b39b05r8r0
