parameter_name,Periphery permanence time
mouse_life_stage,Early adult
analysis_id,167969u0ad1xwb9
pvalue,0.7362086
gene_accession_id,MGI:1914556
gene_symbol,Zc2hc1a
mouse_strain,C57BL
parameter_id,IMPC_OFD_012_001
