analysis_id,7b41l9192g6f672
parameter_name,Weight
mouse_life_stage,Early adult
gene_accession_id,MGI:1920638
gene_symbol,Bpifa3
mouse_strain,C57BL
pvalue,0.6921738
parameter_id,CCP_LFO_001_001
