parameter_name,12kHz-evoked ABR Threshold
gene_accession_id,MGI:1913483
gene_symbol,Dmap1
pvalue,0.7369521
mouse_life_stage,E12.5
parameter_id,IMPC_ABR_006_001
mouse_strain,C57BL
analysis_id,1rk4u54362ox7s8
